title,sub_title,Rank,Horse / Owner,Points,Total Comps
2021 Points Display,PONY HUNTER BREEDING 2 YEAR OLD,1,"FC MAGIC IN THE MAKING/ BURNET TOWNSEND, MACAELA - MA",109,(12 comps)
2021 Points Display,PONY HUNTER BREEDING 2 YEAR OLD,2,"ORCHARD HILLS WISH LIST/ DILALLA, COURTNEY - MA",66,(7 comps)
2021 Points Display,PONY HUNTER BREEDING 2 YEAR OLD,3,"ORCHARD HILLS SAND STONE/ FILEWICZ, GINA - CT",36,(7 comps)
2021 Points Display,HIGH PERFORMANCE HUNTER,1,"CAMILLO VDL/ SHEPTOFF, JEAN - MA",231,(10 comps)
2021 Points Display,HIGH PERFORMANCE HUNTER,2,"TRUE BLUE/ COMBS, JENNIFER - MA",211.6,(18 comps)
2021 Points Display,HIGH PERFORMANCE HUNTER,3,"DIADORA/ LE STAGE, BARBARA - MA",163,(9 comps)
2021 Points Display,HIGH PERFORMANCE HUNTER,4,TBS ROLLS THE DICE/ TWIN BAYS STABLE LLC - CT,84,(6 comps)
2021 Points Display,HIGH PERFORMANCE HUNTER,5,"OLYMPIC FIRE/ HANNAN, JENNIFER - RI",35,(6 comps)
2021 Points Display,"PERFORMANCE HUNTER - 3'6""",1,"WATERMARK/ PRIME, KILEY - RI",286.4,(5 comps)
2021 Points Display,"PERFORMANCE HUNTER - 3'6""",2,"TRIBECA/ BUDOVSKY INVESTMENTS, LLC - MA",272.5,(10 comps)
2021 Points Display,"PERFORMANCE HUNTER - 3'6""",3,"IRONIC HX/ CATANI, DEIRDRE - MA",164,(6 comps)
2021 Points Display,"PERFORMANCE HUNTER - 3'6""",4,"KNOCK OUT/ PRICE, MARGARET F. - CT",128,(3 comps)
2021 Points Display,"PERFORMANCE HUNTER - 3'6""",5,"XZPLENDOR/ MAZZOLA, EVA - MA",117.4,(3 comps)
2021 Points Display,"PERFORMANCE HUNTER - 3'6""",6,"TRUE BLUE/ COMBS, JENNIFER - MA",114.2,(2 comps)
2021 Points Display,"PERFORMANCE HUNTER - 3'6""",7,"BENICIO/ GIORDANO, ROSALIE - MA",108,(3 comps)
2021 Points Display,"PERFORMANCE HUNTER - 3'6""",8,"BILLY IRISH/ CLARK, OAKLEY - VT",106,(1 comps)
2021 Points Display,"PERFORMANCE HUNTER - 3'6""",9,"MYSTERIOUS WAYS/ BLUM, SARAH - MA",104,(3 comps)
2021 Points Display,"PERFORMANCE HUNTER - 3'6""",10,CORTO DES DAMES/ BRIGADOON SHOW STABLES INC. - CT,102.2,(1 comps)
2021 Points Display,"PERFORMANCE HUNTER - 3'6""",11,"VDL WHITE CHOCOLATE/ MAZZOLA, EVA - MA",100,(4 comps)
2021 Points Display,"PERFORMANCE HUNTER - 3'6""",12,"QUATEROY/ DESROCHES, DIANNE - MA",90,(6 comps)
2021 Points Display,"PERFORMANCE HUNTER - 3'6""",13,"PROLIFIC/ SEAMAN, CALLIE - NY",86.8,(10 comps)
2021 Points Display,"PERFORMANCE HUNTER - 3'6""",14,"SINATRA/ ALLEN, TINA - CT",84,(9 comps)
2021 Points Display,"PERFORMANCE HUNTER - 3'6""",15,"SUNSHINE/ MILBURY, CORINNE - MA",79,(3 comps)
2021 Points Display,"PERFORMANCE HUNTER - 3'6""",16,"MTM FASHION/ COVENEY, KATELYN - MA",77,(4 comps)
2021 Points Display,"PERFORMANCE HUNTER - 3'6""",17,"CHEVITO/ MAOUNIS, LEXI - CT",71.8,(3 comps)
2021 Points Display,"PERFORMANCE HUNTER - 3'6""",18,"BELIEVE/ HART, VICTORIA - CT",62,(4 comps)
2021 Points Display,"PERFORMANCE HUNTER - 3'6""",19,"GARSINO/ BAYKO, ALEXA - MA",61,(1 comps)
2021 Points Display,"PERFORMANCE HUNTER - 3'6""",20,"BOOK OF ELI/ ARAKELIAN, CHANCE - CT",60,(3 comps)
2021 Points Display,"PERFORMANCE HUNTER - 3'6""",21,"TAHOKA/ HINKLE RUSSELL, SALLY - CT",57,(3 comps)
2021 Points Display,"PERFORMANCE HUNTER - 3'6""",22,"LOVE DREAMER 2/ CL SPORT HORSES, LLC - MA",49,(3 comps)
2021 Points Display,"PERFORMANCE HUNTER - 3'6""",,"SERENDIPITY/ GUIDI, FRANCESCA - MA",49,(3 comps)
2021 Points Display,"PERFORMANCE HUNTER - 3'6""",24,"CASTLE ROCK/ MCCASLIN, KIMBERLY - MA",47,(5 comps)
2021 Points Display,"PERFORMANCE HUNTER - 3'6""",25,"ASTRO DE RAVEL/ ROBERTSON, OLIVIA - CT",42,(2 comps)
2021 Points Display,"PERFORMANCE HUNTER - 3'6""",26,"GINEA/ WOOLLEY, SHEA - MA",35,(1 comps)
2021 Points Display,"PERFORMANCE HUNTER - 3'6""",27,"UPTOWN/ ROMOND, LAENA - CT",34,(2 comps)
2021 Points Display,"PERFORMANCE HUNTER - 3'6""",28,"THEODORE/ PRINCE, GREGORY - MA",33,(2 comps)
2021 Points Display,"PERFORMANCE HUNTER - 3'6""",29,"REVELRY/ SICA, ISABELLA - CT",30,(1 comps)
2021 Points Display,"PERFORMANCE HUNTER - 3'6""",30,"COOL/ DOLAN, HANNA - VT",29,(4 comps)
2021 Points Display,"PERFORMANCE HUNTER - 3'6""",,QUIMBY/ TEMPLE EQUESTRIAN LLC - MA,29,(5 comps)
2021 Points Display,"PERFORMANCE HUNTER - 3'6""",32,TOPGUN/ EPIC FARM LLC - CT,26,(1 comps)
2021 Points Display,"PERFORMANCE HUNTER - 3'6""",33,"WINTERFIELD/ BURNHAM, PENELOPE - RI",24,(1 comps)
2021 Points Display,"PERFORMANCE HUNTER - 3'6""",34,"JOLI COEUR/ LEBEAU, BETH - MA",23,(1 comps)
2021 Points Display,"PERFORMANCE HUNTER - 3'6""",35,"EXCLUSIVE/ MICHAELSON, DEVON - MA",22,(1 comps)
2021 Points Display,"PERFORMANCE HUNTER - 3'6""",36,"FEDERER/ BOWEN, CARLY - MA",20,(1 comps)
2021 Points Display,"PERFORMANCE HUNTER - 3'6""",37,"KRYPTONITE/ SMITH REZAC, JAI - MA",15,(1 comps)
2021 Points Display,"PERFORMANCE HUNTER - 3'6""",38,"MERANDO/ FLETCHER, KATHRYN - MA",13,(1 comps)
2021 Points Display,"PERFORMANCE HUNTER - 3'3""",1,"MTM FASHION/ COVENEY, KATELYN - MA",396,(10 comps)
2021 Points Display,"PERFORMANCE HUNTER - 3'3""",2,"VIVA HENRI/ ANDERSON, GRETCHEN - NH",370,(1 comps)
2021 Points Display,"PERFORMANCE HUNTER - 3'3""",3,"ESPRIT DE VICTOIRE/ CANNON, HOLLY - MA",347.2,(2 comps)
2021 Points Display,"PERFORMANCE HUNTER - 3'3""",4,"KEYSTONE/ DWINELL, CHELSEA - FL",337,(4 comps)
2021 Points Display,"PERFORMANCE HUNTER - 3'3""",5,"WATERMARK/ PRIME, KILEY - RI",323,(2 comps)
2021 Points Display,"PERFORMANCE HUNTER - 3'3""",6,"ST. ELMO'S FIRE/ BUDOVSKY INVESTMENTS, LLC - MA",257,(3 comps)
2021 Points Display,"PERFORMANCE HUNTER - 3'3""",7,"COLANDER/ WAHLBERG, SKYLER - CT",239,(3 comps)
2021 Points Display,"PERFORMANCE HUNTER - 3'3""",8,"CARINGTON/ GERRITY, CASSIE - MA",223,(12 comps)
2021 Points Display,"PERFORMANCE HUNTER - 3'3""",9,TOPGUN/ EPIC FARM LLC - CT,206,(2 comps)
2021 Points Display,"PERFORMANCE HUNTER - 3'3""",10,"BLUE EMPIRE/ SUN, ANNIKA - CT",192,(8 comps)
2021 Points Display,"PERFORMANCE HUNTER - 3'3""",11,"CAROUSEL/ LONGO, LISA - CT",188,(9 comps)
2021 Points Display,"PERFORMANCE HUNTER - 3'3""",12,"MTM PATRONUS/ VIOLIN, CHRISTY - MA",164,(5 comps)
2021 Points Display,"PERFORMANCE HUNTER - 3'3""",13,"ILADIN DU ROUET/ MACKENZIE, EVA - CT",161,(16 comps)
2021 Points Display,"PERFORMANCE HUNTER - 3'3""",,"KRYPTONITE/ SMITH REZAC, JAI - MA",161,(4 comps)
2021 Points Display,"PERFORMANCE HUNTER - 3'3""",15,CORTO DES DAMES/ BRIGADOON SHOW STABLES INC. - CT,146,(4 comps)
2021 Points Display,"PERFORMANCE HUNTER - 3'3""",16,"THYBO Z/ ZARRELLA, KRISTIN - MA",145,(3 comps)
2021 Points Display,"PERFORMANCE HUNTER - 3'3""",17,"DARK 'N STORMY/ SIEURIN, KIM - MA",136,(3 comps)
2021 Points Display,"PERFORMANCE HUNTER - 3'3""",18,"CF CASECCO/ JONES, BRIDEY - ME",132,(4 comps)
2021 Points Display,"PERFORMANCE HUNTER - 3'3""",,"WHITE TIE/ COMBS, JENNIFER - MA",132,(6 comps)
2021 Points Display,"PERFORMANCE HUNTER - 3'3""",20,"E PLEASURE/ WRIGHT START OUTSOURCING, LLC - CT",131,(3 comps)
2021 Points Display,"PERFORMANCE HUNTER - 3'3""",21,"SISTER PARRISH/ TUCKERMAN, JANE - MA",128,(5 comps)
2021 Points Display,"PERFORMANCE HUNTER - 3'3""",22,"TRUE BLUE/ COMBS, JENNIFER - MA",127.6,(2 comps)
2021 Points Display,"PERFORMANCE HUNTER - 3'3""",23,"KINGSLAND BAY/ LEBLANC, MARY - MA",125,(6 comps)
2021 Points Display,"PERFORMANCE HUNTER - 3'3""",24,"FERNDALE/ JANSEN, AVERY - VT",121,(1 comps)
2021 Points Display,"PERFORMANCE HUNTER - 3'3""",25,"ALL OF ME/ BAYKO, ALEXA - MA",120,(2 comps)
2021 Points Display,"PERFORMANCE HUNTER - 3'3""",26,"ESH ASLAN DE L'ETRE/ KENDALL, TAYLOR - MA",119,(4 comps)
2021 Points Display,"PERFORMANCE HUNTER - 3'3""",27,"ELYSSE DE NABAB/ AMBER HILL FARM, LLC - MA",113,(2 comps)
2021 Points Display,"PERFORMANCE HUNTER - 3'3""",28,"MACCHIATO/ MINER, KIM - CT",111,(2 comps)
2021 Points Display,"PERFORMANCE HUNTER - 3'3""",29,"CESANDRO/ MAOUNIS, LEXI - CT",110.4,(2 comps)
2021 Points Display,"PERFORMANCE HUNTER - 3'3""",30,"LEGOLAS/ CLARKE, STEPHANIE - CT",110,(2 comps)
2021 Points Display,"PERFORMANCE HUNTER - 3'3""",31,"XZPLENDOR/ MAZZOLA, EVA - MA",108,(3 comps)
2021 Points Display,"PERFORMANCE HUNTER - 3'3""",32,"COOPERSTOWN/ WEBSTER, GRACE - MA",106,(7 comps)
2021 Points Display,"PERFORMANCE HUNTER - 3'3""",33,"MOST LIKELY/ GREER, KASSIDY - CT",105,(3 comps)
2021 Points Display,"PERFORMANCE HUNTER - 3'3""",34,"IRONIC HX/ CATANI, DEIRDRE - MA",104,(3 comps)
2021 Points Display,"PERFORMANCE HUNTER - 3'3""",35,"RAINDANCER/ REISKIN, OLIVIA - VT",101,(7 comps)
2021 Points Display,"PERFORMANCE HUNTER - 3'3""",36,"SPENCER/ YOZELL, JOHN - MA",100,(4 comps)
2021 Points Display,"PERFORMANCE HUNTER - 3'3""",37,"BILLY IRISH/ CLARK, OAKLEY - VT",99,(2 comps)
2021 Points Display,"PERFORMANCE HUNTER - 3'3""",,"QUINTESSENTIAL/ DIPIETRO, PAIGE - MA",99,(8 comps)
2021 Points Display,"PERFORMANCE HUNTER - 3'3""",39,"MYSTERIOUS WAYS/ BLUM, SARAH - MA",95,(2 comps)
2021 Points Display,"PERFORMANCE HUNTER - 3'3""",,"QUINTESSENTIAL/ JUNEJA, LILA - CT",95,(10 comps)
2021 Points Display,"PERFORMANCE HUNTER - 3'3""",41,"TAHOKA/ HINKLE RUSSELL, SALLY - CT",94,(1 comps)
2021 Points Display,"PERFORMANCE HUNTER - 3'3""",42,"TRISTRAM 7/ GILDEA, JULIA - MA",91,(4 comps)
2021 Points Display,"PERFORMANCE HUNTER - 3'3""",43,"BAMBOLINO/ MAGGIORE, JACQUELYN - MA",90,(6 comps)
2021 Points Display,"PERFORMANCE HUNTER - 3'3""",44,"BOCCACCIO/ CASH, COLIN - MA",88,(5 comps)
2021 Points Display,"PERFORMANCE HUNTER - 3'3""",,"KNOCK OUT/ PRICE, MARGARET F. - CT",88,(5 comps)
2021 Points Display,"PERFORMANCE HUNTER - 3'3""",46,"VISTANO/ MAOUNIS, LEXI - CT",84.8,(5 comps)
2021 Points Display,"PERFORMANCE HUNTER - 3'3""",47,"MANHATTAN/ LURIE, CAROLINE - CA",83,(1 comps)
2021 Points Display,"PERFORMANCE HUNTER - 3'3""",48,"PALOMA/ PEPE, LEXI - CT",82.8,(2 comps)
2021 Points Display,"PERFORMANCE HUNTER - 3'3""",49,"WINSOME/ DUST YOURSELF OFF, LLC - CT",82,(1 comps)
2021 Points Display,"PERFORMANCE HUNTER - 3'3""",50,"CAMPARI/ BODSON, TAYLOR - CT",81,(2 comps)
2021 Points Display,"PERFORMANCE HUNTER - 3'3""",,"CONTINUUM/ STRAIN, AMANDA - FL",81,(2 comps)
2021 Points Display,"PERFORMANCE HUNTER - 3'3""",52,"DARKO C/ BACK FORTY EQUINE, LLC - VT",79,(4 comps)
2021 Points Display,"PERFORMANCE HUNTER - 3'3""",,NEXT GENERATION/ STARGAZER HILL FARM - MA,79,(2 comps)
2021 Points Display,"PERFORMANCE HUNTER - 3'3""",,"VALHALLA/ ELLIS, KATE - MA",79,(4 comps)
2021 Points Display,"PERFORMANCE HUNTER - 3'3""",55,"MTM MOCHI/ WANGER, AMY - MA",78,(1 comps)
2021 Points Display,"PERFORMANCE HUNTER - 3'3""",56,"DANTON DU HOUSSOLF/ HUBER, MARGARET - CT",75,(2 comps)
2021 Points Display,"PERFORMANCE HUNTER - 3'3""",57,"INDIGO/ BERTONE, LILY - MA",74,(3 comps)
2021 Points Display,"PERFORMANCE HUNTER - 3'3""",58,TRU BALOU/ COUNTRY LANE FARM - CT,73,(4 comps)
2021 Points Display,"PERFORMANCE HUNTER - 3'3""",59,"AUBERGINE/ STAUFFER, CLARA - VT",71,(4 comps)
2021 Points Display,"PERFORMANCE HUNTER - 3'3""",60,"GEORGETTE LE BON/ DAVIS, MARY - MA",70,(4 comps)
2021 Points Display,"PERFORMANCE HUNTER - 3'3""",61,"HAMILTON/ FRITCHMAN, TATUM - MA",69,(3 comps)
2021 Points Display,"PERFORMANCE HUNTER - 3'3""",,"THE RECRUIT/ BUCKLEY, MARYLOU - NH",69,(1 comps)
2021 Points Display,"PERFORMANCE HUNTER - 3'3""",63,"CASARIO/ BODSON, TAYLOR - CT",68,(2 comps)
2021 Points Display,"PERFORMANCE HUNTER - 3'3""",64,"J'ADORE Z/ SMITH REZAC, JAI - MA",66,(1 comps)
2021 Points Display,"PERFORMANCE HUNTER - 3'3""",65,"CRACKERJACK/ MACDONALD, JACKIE - MA",65,(3 comps)
2021 Points Display,"PERFORMANCE HUNTER - 3'3""",66,KINGSTOWN/ ARAM AMPAGOUMIAN LLC - CT,62,(1 comps)
2021 Points Display,"PERFORMANCE HUNTER - 3'3""",67,KYLO REN/ SPRINGEN HORSES - CT,59,(1 comps)
2021 Points Display,"PERFORMANCE HUNTER - 3'3""",68,"KEC CARAGH LAKE/ WICKLUND, SYDNEY - NH",58,(3 comps)
2021 Points Display,"PERFORMANCE HUNTER - 3'3""",69,"HILLTOP GS/ GRADY, MEGAN - CT",56,(3 comps)
2021 Points Display,"PERFORMANCE HUNTER - 3'3""",70,"BODACIOUS/ JENKINS, MARISA - CT",55,(1 comps)
2021 Points Display,"PERFORMANCE HUNTER - 3'3""",71,"KEIDOLON/ DEMPSEY-WEINER, PAIGE - CT",54,(2 comps)
2021 Points Display,"PERFORMANCE HUNTER - 3'3""",72,"CRITICAL ROLE/ SMITH REZAC, JAI - MA",52,(3 comps)
2021 Points Display,"PERFORMANCE HUNTER - 3'3""",73,"GALAXY/ ALLEN, TINA - CT",50.8,(3 comps)
2021 Points Display,"PERFORMANCE HUNTER - 3'3""",74,"KODALINE/ KENNEDY, PAULA - CT",50,(1 comps)
2021 Points Display,"PERFORMANCE HUNTER - 3'3""",,"SMITTEN 57/ HIRSCH, SARAH - MA",50,(1 comps)
2021 Points Display,"PERFORMANCE HUNTER - 3'3""",76,"EMERALD CITY/ DOLAN, MARISSA - MA",49,(1 comps)
2021 Points Display,"PERFORMANCE HUNTER - 3'3""",,"KENSI/ ELLIS, KATHARINE  - MA",49,(3 comps)
2021 Points Display,"PERFORMANCE HUNTER - 3'3""",78,AMARETTO/ TURTON EQUINE LLC - MA,47,(3 comps)
2021 Points Display,"PERFORMANCE HUNTER - 3'3""",,"EWIEKA/ ROBIDAS, TERRI - CT",47,(3 comps)
2021 Points Display,"PERFORMANCE HUNTER - 3'3""",80,CASSIANO/ NIMBUS LLC - CT,42,(3 comps)
2021 Points Display,"PERFORMANCE HUNTER - 3'3""",81,"CLOSING STATEMENT/ HART, MADISON - CT",41,(2 comps)
2021 Points Display,"PERFORMANCE HUNTER - 3'3""",82,"CAMPFIRE/ RYAN, PING - CT",40,(1 comps)
2021 Points Display,"PERFORMANCE HUNTER - 3'3""",,"QUALTENDER/ WICKLUND, PAMELA - NH",40,(3 comps)
2021 Points Display,"PERFORMANCE HUNTER - 3'3""",84,"UPTOWN/ ROMOND, LAENA - CT",39,(1 comps)
2021 Points Display,"PERFORMANCE HUNTER - 3'3""",85,"ZARA/ MOPPETT, FRANCES - CT",37,(4 comps)
2021 Points Display,"PERFORMANCE HUNTER - 3'3""",86,"JOLI COEUR/ LEBEAU, BETH - MA",35,(2 comps)
2021 Points Display,"PERFORMANCE HUNTER - 3'3""",87,"ZONDER Z QUATTRO/ TINSLEY, ABIGAIL - MA",34,(1 comps)
2021 Points Display,"PERFORMANCE HUNTER - 3'3""",88,"CAPITOL AFFAIRE/ MARKCROW, DAPHNE - VT",33,(1 comps)
2021 Points Display,"PERFORMANCE HUNTER - 3'3""",,"IGNATIA/ CONTARINO, KATHRYN - MA",33,(1 comps)
2021 Points Display,"PERFORMANCE HUNTER - 3'3""",90,"SUNSHINE/ MILBURY, CORINNE - MA",32,(3 comps)
2021 Points Display,"PERFORMANCE HUNTER - 3'3""",91,"LORDAN/ SANDERS, KENYA - MA",31,(3 comps)
2021 Points Display,"PERFORMANCE HUNTER - 3'3""",,"RIO'S GRAND FINALE/ BRADLEY, JULIANNA - CT",31,(3 comps)
2021 Points Display,"PERFORMANCE HUNTER - 3'3""",93,"COOL/ DOLAN, HANNA - VT",30,(1 comps)
2021 Points Display,"PERFORMANCE HUNTER - 3'3""",,"HM BEAULIEU/ D'ANDREA, KRISTINE  - CT",30,(10 comps)
2021 Points Display,"PERFORMANCE HUNTER - 3'3""",95,FIFTH AVENUE/ SRE EQUESTRIAN LLC - CT,29,(1 comps)
2021 Points Display,"PERFORMANCE HUNTER - 3'3""",96,"BENICIO/ GIORDANO, ROSALIE - MA",28,(5 comps)
2021 Points Display,"PERFORMANCE HUNTER - 3'3""",,"GINEA/ WOOLLEY, SHEA - MA",28,(1 comps)
2021 Points Display,"PERFORMANCE HUNTER - 3'3""",98,"FLOOR/ HB & T, LLC - MA",27,(1 comps)
2021 Points Display,"PERFORMANCE HUNTER - 3'3""",99,"QUATEROY/ DESROCHES, DIANNE - MA",25,(5 comps)
2021 Points Display,"PERFORMANCE HUNTER - 3'3""",,"TRUE NORTH/ MALTA, CIRA PACE - CT",25,(4 comps)
2021 Points Display,"PERFORMANCE HUNTER - 3'3""",101,"CAROLLO/ MANOOG, NICOLE - MA",24,(2 comps)
2021 Points Display,"PERFORMANCE HUNTER - 3'3""",,"CONTADOR/ CHU, WYNATTE - CT",24,(2 comps)
2021 Points Display,"PERFORMANCE HUNTER - 3'3""",,"COSA NOSTRA/ WRIGHT START OUTSOURCING, LLC - CT",24,(1 comps)
2021 Points Display,"PERFORMANCE HUNTER - 3'3""",104,"CLEES/ AHERN, MADELINE - MA",23,(2 comps)
2021 Points Display,"PERFORMANCE HUNTER - 3'3""",105,"DENVER HTF/ ASCHER, BONNIE - CT",20,(3 comps)
2021 Points Display,"PERFORMANCE HUNTER - 3'3""",106,"AMBITION/ SMITH REZAC, JAI - MA",19,(2 comps)
2021 Points Display,"PERFORMANCE HUNTER - 3'3""",,"CHRISTOPHER ROBIN/ COHEN, SOPHIE - CT",19,(7 comps)
2021 Points Display,"PERFORMANCE HUNTER - 3'3""",108,"BY MY SIDE/ ABBATIELLO, KRISTEN - CT",18,(4 comps)
2021 Points Display,"PERFORMANCE HUNTER - 3'3""",109,"FLUGEL/ LANGMEIER, LINDA - CT",17,(1 comps)
2021 Points Display,"PERFORMANCE HUNTER - 3'3""",,"JOLLY MON/ GISHOLT, JILL  - MA",17,(4 comps)
2021 Points Display,"PERFORMANCE HUNTER - 3'3""",111,MARDI GRAS/ GRAFTON STREET EQUINE LLC - MA,16,(1 comps)
2021 Points Display,"PERFORMANCE HUNTER - 3'3""",,"SPECK-TACULAR/ EARL, HADLEY - MA",16,(1 comps)
2021 Points Display,"PERFORMANCE HUNTER - 3'3""",113,"RAPHAEL/ DUST YOURSELF OFF, LLC - CT",15,(1 comps)
2021 Points Display,"PERFORMANCE HUNTER - 3'3""",114,"SWANKY/ SHIMANSKI, CLAIRE - CT",14,(1 comps)
2021 Points Display,"PERFORMANCE HUNTER - 3'3""",115,"CLAUDIO Z/ STAUFFER, CLARA - VT",13,(1 comps)
2021 Points Display,"PERFORMANCE HUNTER - 3'3""",,"EXCLUSIVE/ MICHAELSON, DEVON - MA",13,(2 comps)
2021 Points Display,"PERFORMANCE HUNTER - 3'3""",,"NOTORIUS/ WRIGHT START OUTSOURCING, LLC - CT",13,(1 comps)
2021 Points Display,"PERFORMANCE HUNTER - 3'3""",,"QUIDAM ADERO/ GOODWIN, JESSIE - CT",13,(2 comps)
2021 Points Display,"PERFORMANCE HUNTER - 3'3""",119,"CAITANO/ ZINSMEYER, VICTORIA - MA",12,(2 comps)
2021 Points Display,"PERFORMANCE HUNTER - 3'3""",,"NEW ENGLAND/ KEANE, SIENNA - CT",12,(4 comps)
2021 Points Display,"PERFORMANCE HUNTER - 3'3""",121,"FALMOUTH/ LAUTZ, JULIA - MA",11,(1 comps)
2021 Points Display,"PERFORMANCE HUNTER - 3'3""",122,"TRADE WINDS ENRIQUE/ RAY, LAURA - MA",10,(1 comps)
2021 Points Display,"PERFORMANCE HUNTER - 3'3""",,"VIVA DE REVE/ DEVLIN, ABIGAIL - MA",10,(3 comps)
2021 Points Display,"PERFORMANCE HUNTER - 3'3""",124,"VALEGRO 7/ HWALEK, KYLIE - CT",4,(1 comps)
2021 Points Display,"USHJA HUNTER 2'0""",1,"INFERNO/ ZURAITIS, MARITA - MA",183,(3 comps)
2021 Points Display,"USHJA HUNTER 2'0""",2,"ZORVINO/ HOUSTON, CANDACE - NH",134.5,(3 comps)
2021 Points Display,"USHJA HUNTER 2'0""",3,"IDREAM/ EVANS, LINDA - MA",124.5,(3 comps)
2021 Points Display,"USHJA HUNTER 2'0""",4,"AVEDON/ TOMASELLI, LISA - CT",113.1,(2 comps)
2021 Points Display,"USHJA HUNTER 2'0""",5,"HH BALTIC KEEPSAKE/ CONRAD, ANDREA - VT",110,(2 comps)
2021 Points Display,"USHJA HUNTER 2'0""",6,"MY SHINING STAR/ LAMOTHE, THERESA M. - CT",95.5,(4 comps)
2021 Points Display,"USHJA HUNTER 2'0""",7,"HEADLINES/ QUINN, ELLEN - CT",90,(1 comps)
2021 Points Display,"USHJA HUNTER 2'0""",8,"DRAGONFLY/ VALBERG, ALLEGRA - MA",79,(1 comps)
2021 Points Display,"USHJA HUNTER 2'0""",9,"LASTLOOKATTHECAT/ PICKERING, JULIE - MA",71,(2 comps)
2021 Points Display,"USHJA HUNTER 2'0""",,"SAMWISE/ MEDRANO, RAELEEN - CT",71,(2 comps)
2021 Points Display,"USHJA HUNTER 2'0""",11,"MONTECITO/ PETERSEN, ROBIN - MA",68,(1 comps)
2021 Points Display,"USHJA HUNTER 2'0""",12,"HEADS OR TAILS/ COTMAN JENKINS, ALICE - MA",67.5,(1 comps)
2021 Points Display,"USHJA HUNTER 2'0""",13,"ZENITH UHS/ HB & T, LLC - MA",66.4,(1 comps)
2021 Points Display,"USHJA HUNTER 2'0""",14,"SCARLET GEMINI/ SCHERER, KATE - MA",65.5,(1 comps)
2021 Points Display,"USHJA HUNTER 2'0""",15,"SIMON SAYS SO FINE/ AMARAL-MCKEE, CHERYL L - MA",49,(1 comps)
2021 Points Display,"USHJA HUNTER 2'0""",16,"SPOT LIGHT/ RAY, LAURA - MA",40,(1 comps)
2021 Points Display,"USHJA HUNTER 2'0""",17,"WISEWOOD GLAMOUR GIRL/ AMARAL-MCKEE, CHERYL L - MA",35,(1 comps)
2021 Points Display,"USHJA HUNTER 2'0""",18,"SAN DIEGO Z/ BIRBARA, BROOKE - CT",34,(1 comps)
2021 Points Display,"USHJA HUNTER 2'0""",19,"GLYNHAFEN SIR LANCELOT/ AMARAL-MCKEE, CHERYL L - MA",32.5,(1 comps)
2021 Points Display,"USHJA HUNTER 2'0""",20,"LADYLIKE/ YATES-MACK, BARRETT E - MA",31.5,(1 comps)
2021 Points Display,"USHJA HUNTER 2'0""",21,"BAJA/ VON BERNUTH, DAWN - CT",29.5,(1 comps)
